LOAN_NBR|BORROWER_ID|COBORROWER_ID|STATE|COUNTY|LOAN_AMT|UPB|MONTHLYPMT|INTEREST_AMT|PMT_METHOD|DUE_DT|TXN_DT|DT_SRCE_BEG|DT_SRCE_END|ACTIVE
0000000001|0000000001|0000000001|MA|South|956638811|342150377|71877|82514|Wire|2026-01-31|2018-07-28 17:09:16|2018-07-07 18:17:54|9999-12-31 00:00:00|A
0000000002|0000000002|0000000002|ND|Central|422737481|321519766|65145|63330|Check|2022-02-28|2018-07-26 22:25:18|2018-07-08 18:15:24|9999-12-31 00:00:00|A
0000000003|0000000003|0000000003|NM|West|521599553|383464243|50061|44633|ACH|2023-08-31|2018-07-09 02:16:10|2018-07-07 02:29:59|9999-12-31 00:00:00|A
0000000004|0000000004|0000000004|MN|East|539153860|318755223|32263|9779|Internal Transfer|2025-07-31|2018-07-10 20:20:39|2018-07-05 13:37:28|9999-12-31 00:00:00|A
0000000005|0000000005|0000000005|CT|West|128192517|121619100|76247|28661|ACH|2020-06-30|2018-07-14 15:32:52|2018-07-03 20:42:39|9999-12-31 00:00:00|A
0000000006|0000000006|0000000006|KS|South|833746646|237338850|49188|56926|ACH|2022-08-31|2018-07-14 12:49:10|2018-07-13 11:31:28|9999-12-31 00:00:00|A
0000000007|0000000007|0000000007|SD|East|75721988|67798132|4428|87193|ACH|2026-11-30|2018-07-18 18:18:36|2018-07-11 09:09:53|9999-12-31 00:00:00|A
0000000008|0000000008|0000000008|NM|South|120732391|25559484|95498|89290|Internal Transfer|2019-01-31|2018-07-12 16:39:37|2018-07-09 05:17:46|9999-12-31 00:00:00|A
0000000009|0000000009|0000000009|AZ|South|466075372|462578379|71941|11557|ACH|2023-03-31|2018-07-11 20:19:33|2018-07-10 05:57:10|9999-12-31 00:00:00|A
0000000010|0000000010|0000000010|LA|West|662651414|93456492|92492|41221|Check|2021-11-30|2018-07-20 01:46:42|2018-07-03 05:34:58|9999-12-31 00:00:00|A
0000000011|0000000011|0000000011|PA|Bucks|789352550|507497114|14863|958|Internal Transfer|2023-07-31|2018-07-07 00:50:26|2018-07-03 13:06:50|9999-12-31 00:00:00|A
0000000012|0000000012|0000000012|NV|South|130067637|53600624|83218|4736|ACH|2021-11-30|2018-07-04 11:45:51|2018-07-01 22:21:50|9999-12-31 00:00:00|A
0000000013|0000000013|0000000013|FL|Broward|528132389|96609786|52035|47495|ACH|2018-06-30|2018-07-23 00:35:28|2018-07-16 19:04:50|9999-12-31 00:00:00|A
0000000014|0000000014|0000000014|LA|West|174662567|100985749|63926|86748|Check|2018-10-31|2018-07-14 04:07:59|2018-07-09 22:50:02|9999-12-31 00:00:00|A
0000000015|0000000015|0000000015|NJ|North|989329520|349874310|15288|71398|Internal Transfer|2022-10-31|2018-07-10 04:29:31|2018-07-03 16:00:18|9999-12-31 00:00:00|A
0000000016|0000000016|0000000016|AK|Central|178947527|169418289|80449|87860|Check|2021-11-30|2018-07-07 02:48:12|2018-07-03 00:32:55|9999-12-31 00:00:00|A
0000000017|0000000017|0000000017|OH|Cuyahoga|380450570|308605029|19059|79503|Check|2025-06-30|2018-07-14 22:25:14|2018-07-10 19:15:36|9999-12-31 00:00:00|A
0000000018|0000000018|0000000018|MD|South|702179007|471901832|61883|13975|Wire|2023-10-31|2018-07-17 17:22:22|2018-07-17 02:17:08|9999-12-31 00:00:00|A
0000000019|0000000019|0000000019|WY|Central|807335450|607064141|32030|89571|Wire|2022-01-31|2018-07-02 03:20:03|2018-07-01 22:00:22|9999-12-31 00:00:00|A
0000000020|0000000020|0000000020|KS|West|982983698|152339639|12098|78169|ACH|2026-05-31|2018-07-12 16:18:05|2018-07-12 12:08:43|9999-12-31 00:00:00|A
0000000021|0000000021|0000000021|TN|North|931225192|502553616|91234|34878|Internal Transfer|2024-02-29|2018-07-20 13:49:11|2018-07-06 01:39:40|9999-12-31 00:00:00|A
0000000022|0000000022|0000000022|IN|Central|143895731|40197544|55377|79100|Wire|2020-10-31|2018-07-06 10:10:34|2018-07-03 00:27:01|9999-12-31 00:00:00|A
0000000023|0000000023|0000000023|NH|South|315400196|240689067|88419|20732|Wire|2025-07-31|2018-07-28 18:17:01|2018-07-07 11:20:07|9999-12-31 00:00:00|A
0000000024|0000000024|0000000024|SD|West|583244675|84781151|33942|41945|Check|2023-12-31|2018-07-11 14:14:11|2018-07-07 09:55:32|9999-12-31 00:00:00|A
